ID,Title,author,price,publishdate,digitalCopy,bookAgeGroup
11111111-1111-1111-1111-111111111111,The Great Adventure,John Smith,19.99,2023-01-15,true,ADULT
22222222-2222-2222-2222-222222222222,Learning SAP CAP,Emily Johnson,29.50,2024-03-10,true,ADULT
33333333-3333-3333-3333-333333333333,Cloud Computing Basics,Michael Brown,24.75,2022-07-21,false,KIDS
44444444-4444-4444-4444-444444444444,Data Analytics Guide,Sarah Davis,34.99,2023-11-05,true,ADULT
55555555-5555-5555-5555-555555555555,Artificial Intelligence Today,David Wilson,39.95,2025-02-18,true,KIDS
66666666-6666-6666-6666-666666666666,Database Design Essentials,Lisa Anderson,22.00,2021-09-12,false,ADULT
77777777-7777-7777-7777-777777777777,Modern Web Development,Robert Thomas,27.99,2024-06-30,true,KIDS
88888888-8888-8888-8888-888888888888,Cybersecurity Fundamentals,Jennifer Moore,31.49,2023-08-14,false,KIDS
99999999-9999-9999-9999-999999999999,Machine Learning Concepts,Christopher Taylor,45.00,2025-01-08,true,KIDS
aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa,Enterprise Software Architecture,Olivia Martin,49.99,2024-12-01,true,KIDS
